Cereal Name,Manufacturer,Calories,Protein (g)
Rep. Michael Capuano,3,2.944734584,19.22837187
Rep. Michael Cloud,2,10.63905553,9.594909645
Rep. Michael Conaway,1,4.241708048,-11.31328713
Rep. Michael Doyle,2,5.302924701,11.94286588
Rep. Michael Fitzpatrick,0,-5.696661599,-13.88387428
Rep. Michael Grimm,7,-33.59165807,-6.12312711
Rep. Michael Guest,2,10.21452619,19.53160539
Rep. Michael McCaul,1,3.97635104,-10.37507233
Rep. Michael Michaud,4,-23.32864079,15.67352418
Rep. Michael Turner,1,4.108415145,-10.7690728
Rep. Michael Waltz,2,10.86403574,18.02595153
Rep. Michele Bachmann,7,-33.54476206,-7.110990965
Rep. Michelle Lujan Grisham,3,7.336603177,20.11719838
Rep. Mick Mulvaney,0,-6.451836125,-15.89021415
Rep. Mike Bishop,6,23.39800622,-19.82616152
Rep. Mike Bost,6,20.98411606,-12.5342068
Rep. Mike Coffman,1,3.189054063,-14.63737166
Rep. Mike Gallagher,6,16.25864964,-7.011007313
Rep. Mike Garcia,3,17.29905022,26.86340353
Rep. Mike Johnson,6,17.04331111,-8.782059989
Rep. Mike Kelly,1,3.945274997,-11.00908351
Rep. Mike Levin,5,8.893545403,-3.711169516
Rep. Mike McIntyre,4,-24.37026517,7.481303867
Rep. Mike Pence,7,-39.13651154,-12.22982613
Rep. Mike Pompeo,0,-5.806159912,-13.59774949
Rep. Mike Quigley,2,5.467490094,12.3201205
Rep. Mike Rogers,0,-4.598634084,-10.09652401
Rep. Mike Ross,7,-32.09861901,3.602746664
Rep. Mike Thompson,2,5.091686346,11.98721953
Rep. Mikie Sherrill,5,8.788143668,-3.475055608
Rep. Mimi Walters,6,23.40340533,-20.44768294
Rep. Mo Brooks,1,3.501044745,-12.67389078
Rep. Morgan Griffith,1,3.584951581,-12.03670103
Rep. Nan Hayworth,7,-39.5700075,-9.31791663
Rep. Nancy Pelosi,3,3.218436903,19.5901322
Rep. Nanette Barragán,2,8.526069221,6.949630209
Rep. Neal Dunn,6,16.79687886,-8.444190559
Rep. Nick Rahall II,4,-20.67146377,15.88061099
Rep. Niki Tsongas,3,4.068273459,19.57564082
Rep. Nita Lowey,2,4.717676003,12.31044508
Rep. Norma Torres,2,13.82873912,10.35960515
Rep. Norman “Norm” Dicks,4,-25.88145679,13.94469714
Rep. Nydia Velázquez,2,5.149262677,11.70686926
Rep. Patrick “Pat” Tiberi,0,-0.3351561077,-16.82556668
Rep. Patrick McHenry,1,4.250835563,-11.31027542
Rep. Patrick Meehan,1,1.944617992,-15.27074527
Rep. Patrick Murphy,3,3.804490675,16.62605504
Rep. Paul Broun Jr.,7,-35.62061429,-8.913869016
Rep. Paul Cook,1,8.688228831,-11.21052777
Rep. Paul Gosar,1,4.688178247,-13.76946661
Rep. Paul Mitchell,6,17.07254401,-8.017407934
Rep. Paul Ryan,0,-16.67865296,-9.796613679
Rep. Paul Tonko,2,4.438730536,12.27659227
Rep. Pete Aguilar,2,14.10814691,10.9106952
Rep. Pete Gallego,4,-16.76743033,18.79056715
Rep. Pete Olson,1,4.034751276,-11.53038644
Rep. Pete Sessions,1,3.190819471,-14.74990958
Rep. Pete Stauber,2,10.70905129,18.93966509
Rep. Peter “Pete” King,1,4.033110288,-11.24597496
Rep. Peter DeFazio,2,4.383002911,12.30888267
Rep. Peter Roskam,1,2.60402637,-14.53817034
Rep. Peter Visclosky,2,5.493223638,12.73601687
Rep. Peter Welch,2,5.103723525,11.79510802
Rep. Phil Gingrey,7,-33.84748089,-8.22216239
Rep. Pramila Jayapal,5,8.392874303,6.41913614
Rep. Raja Krishnamoorthi,2,9.099677317,8.189067582
Rep. Ralph Abraham,6,21.73887459,-16.33497625
Rep. Ralph Hall,7,-34.07549869,-6.772760031
Rep. Ralph Norman,6,16.75500428,-5.039350735
Rep. Randy Forbes,0,-6.378022768,-14.03694316
Rep. Randy Hultgren,1,2.980295361,-15.95274927
Rep. Randy Neugebauer,0,-5.022022943,-14.29101265
Rep. Randy Weber Sr.,1,8.897230973,-12.87586905
Rep. Rashida Tlaib,5,7.623261484,-5.371638163
Rep. Raúl Grijalva,2,6.484681249,11.917692
Rep. Raúl Labrador,1,3.386192302,-17.37091838
Rep. Raul Ruiz,2,7.660890415,12.52978009
Rep. Reid Ribble,0,-5.850111999,-15.04770529
Rep. Renee Ellmers,0,-5.890864591,-13.53014776
Rep. Richard Hanna,0,-5.802684541,-15.39213458
Rep. Richard Hudson,1,8.279303435,-11.47034356
Rep. Richard Neal,2,5.59677026,11.78555439
Rep. Richard Nolan,3,7.287657803,19.87178098
Rep. Richard Nugent,0,-7.728453092,-14.08519905
Rep. Rick Allen,6,21.19297551,-13.47674716
Rep. Rick Berg,7,-38.2017164,-7.399934386
Rep. Rick Larsen,2,5.669025981,12.10397807
Rep. Ro Khanna,2,8.191147648,7.065003234
Rep. Rob Bishop,1,4.103670074,-11.15113539
Rep. Rob Woodall,1,4.150309757,-11.2834216
Rep. Robert “Bobby” Schilling,7,-37.33042752,-9.588132576
Rep. Robert “Bobby” Scott,2,4.86356977,11.57563206
Rep. Robert “Rob” Andrews,4,-22.77581142,16.5050108
Rep. Robert Aderholt,1,4.71363301,-11.64333762
Rep. Robert Brady,3,3.217363149,18.90433374
Rep. Robert Hurt,0,-4.965457534,-13.09112422
Rep. Robert Latta,1,3.855001705,-11.05473495
Rep. Robert Pittenger,1,8.354541929,-16.45755931
Rep. Robert Turner,7,-39.19984634,-9.373867642
Rep. Robert Wittman,1,3.745988109,-11.47061795
Rep. Robin Kelly,2,8.108231565,11.05799909
Rep. Rod Blum,6,23.37291584,-19.04392794
Rep. Rodney Alexander,7,-39.33773011,-10.87199062
Rep. Rodney Davis,1,8.981948229,-10.5155444
Rep. Rodney Frelinghuysen,1,3.150376636,-14.88201133
Rep. Roger Marshall,6,16.89353955,-7.559662586
Rep. Roger Williams,1,8.730671533,-11.55224579
Rep. Ron Barber,4,-23.53547032,9.175975292
Rep. Ron DeSantis,1,8.420966248,-17.10212051
Rep. Ron Estes,6,16.77758025,-4.637371531
Rep. Ron Kind,2,6.211809232,12.4346704
Rep. Ron Wright,2,10.86430924,19.48853634
Rep. Ronald “Ron” Paul,7,-47.18991853,-21.86918309
Rep. Rosa DeLauro,2,4.505751876,11.59904155
Rep. Roscoe Bartlett,7,-39.67404132,-11.53600744
Rep. Ross Spano,2,9.526136735,17.51890699
Rep. Ruben Gallego,2,13.08630117,9.734993292
Rep. Rubén Hinojosa,3,-0.1339306293,18.2541649
Rep. Ruben Kihuen,2,9.755638659,22.85211569
Rep. Rush Holt,4,-22.22299606,17.65132299
Rep. Russ Carnahan,4,-25.97267607,15.62004867
Rep. Russ Fulcher,2,9.683375291,18.701328
Rep. Ryan Costello,6,23.19245201,-20.1871408
Rep. Ryan Zinke,6,27.80797746,-22.50955297
Rep. Salud Carbajal,2,9.523829998,8.428812684
Rep. Sam Farr,3,0.8916113826,17.6685798
Rep. Sam Graves,1,3.511001559,-11.4857674
Rep. Sam Johnson,1,2.302659955,-14.8401654
Rep. Sander Levin,3,2.939183891,18.87600743
Rep. Sandy Adams,7,-38.98377287,-9.201478913
Rep. Sanford Bishop Jr.,2,6.659160043,12.5706129
Rep. Scott DesJarlais,1,4.602883138,-12.23005413
Rep. Scott Garrett,0,-5.920216701,-14.39047379
Rep. Scott Perry,1,8.509516858,-12.35113062
Rep. Scott Peters,2,7.984476458,12.56109565
Rep. Scott Taylor,6,19.30657931,-17.45508307
Rep. Scott Tipton,1,3.968512075,-11.45247254
Rep. Sean Casten,5,8.710875597,-3.994767894
Rep. Sean Duffy,1,3.976978473,-13.45045773
Rep. Sean Maloney,2,8.287970383,13.06115957
Rep. Seth Moulton,2,14.4621835,10.96704738
Rep. Sharice Davids,5,9.367264162,-3.377068302
Rep. Sheila Jackson Lee,2,4.586154454,11.87171066
Rep. Shelley Berkley,4,-25.76587049,15.63957054
Rep. Shelley Capito,7,-33.07130772,-6.24082754
Rep. Silvestre Reyes,4,-26.3166087,14.15952114
Rep. Spencer Bachus III,7,-33.11381893,-5.880097172
Rep. Steny Hoyer,2,4.817272381,11.9623648
Rep. Stephanie Murphy,2,11.09213785,7.830506477
Rep. Stephen Fincher,0,-10.57024393,-14.94404452
Rep. Stephen Lynch,2,5.927167803,12.06192096
Rep. Stevan “Steve” Pearce,1,2.515106261,-15.26812903
Rep. Steve Austria,7,-37.44720398,-10.62103364
Rep. Steve Chabot,1,3.978519233,-11.18658117
Rep. Steve Cohen,2,5.179641112,12.07327455
Rep. Steve Daines,7,-31.07568364,-4.92474402
Rep. Steve Israel,3,-0.5502182828,17.59947671
Rep. Steve King,1,4.16609412,-11.89798269
Rep. Steve Knight,6,23.03708883,-19.66655047
Rep. Steve Russell,6,23.60089014,-20.56630668
Rep. Steve Scalise,1,3.067891458,-10.66072243
Rep. Steve Southerland,7,-33.37516616,-6.251774094
Rep. Steve Stivers,1,3.906185066,-11.25334523
Rep. Steve Stockman,7,-31.86950255,-7.830822509
Rep. Steve Womack,1,4.029340555,-10.83089361
Rep. Steven Horsford,2,-0.9715281883,4.333425489
Rep. Steven LaTourette,7,-41.43173906,-11.28553558
Rep. Steven Palazzo,1,3.864755521,-11.50021451
Rep. Steven Rothman,4,-24.77646887,15.00592886
Rep. Steven Watkins,2,10.11628492,18.77435908
Rep. Sue Myrick,7,-38.442748,-9.069224972
Rep. Susan Brooks,1,8.722687165,-10.96375165
Rep. Susan Davis,2,5.38780287,12.01798308
Rep. Susan Wild,5,8.198572645,-1.569955537
Rep. Susie Lee,5,8.771564858,-3.44260053
Rep. Suzan DelBene,2,6.977650357,12.24042433
Rep. Suzanne Bonamici,2,4.579810553,11.71341235
Rep. Sylvia Garcia,5,8.788270692,-3.825046846
Rep. Tammy Baldwin,4,-27.15876267,14.78216575
Rep. Tammy Duckworth,3,3.079733433,15.77620811
Rep. Ted Budd,6,16.84826739,-9.015353646
Rep. Ted Lieu,2,12.84839468,9.513179566
Rep. Ted Poe,1,2.040329794,-16.85254234
Rep. Ted Yoho,1,8.719985563,-13.33039331
Rep. Terri Sewell,2,5.466372725,12.65780952
Rep. Thaddeus “Thad” McCotter,7,-43.1945653,-12.96732552
Rep. Theodore “Ted” Deutch,2,5.255973691,12.09198615
Rep. Thomas “Tom” Petri,7,-33.55402082,-6.772916351
Rep. Thomas Garrett,6,20.38153043,-18.34211364
Rep. Thomas Massie,1,7.094560916,-18.02109482
Rep. Thomas Rooney,1,2.415859237,-15.69783246
Rep. Thomas Suozzi,2,10.21685721,7.612395953
Rep. Thomas Tiffany,3,15.78012102,27.77784473
Rep. Tim Burchett,2,11.58632861,20.24101325
Rep. Tim Griffin,7,-32.82627842,-6.453205843
Rep. Tim Holden,4,-23.85387061,16.32947203
Rep. Tim Huelskamp,0,-6.183595958,-15.08920654
Rep. Tim Murphy,0,-0.72169722,-15.69019609
Rep. Tim Ryan,2,4.652500074,13.36538651
Rep. Tim Scott,7,-38.64093812,-9.463133046
Rep. Tim Walberg,1,4.415561916,-11.03097865
Rep. Timothy Bishop,4,-20.96874039,16.69139006
Rep. Timothy Johnson,7,-41.59779618,-17.72161396
Rep. Timothy Walz,3,2.420710637,18.28366857
Rep. TJ Cox,5,8.853091142,-3.896657451
Rep. Todd Akin,7,-41.32448262,-9.834377586
Rep. Todd Platts,7,-37.67500858,-8.904229271
Rep. Todd Rokita,1,3.11735361,-14.95964394
Rep. Todd Young,0,-5.676090374,-13.44483321
Rep. Tom Cole,1,4.146784388,-10.68095488
Rep. Tom Cotton,7,-31.11553963,-5.701589206
Rep. Tom Emmer,6,20.82527682,-13.84461151
Rep. Tom Graves,1,4.083443107,-12.39221184
Rep. Tom Latham,7,-32.88457824,-5.779537508
Rep. Tom MacArthur,6,22.75603853,-19.38458758
Rep. Tom Malinowski,5,8.853123486,-3.024757004
Rep. Tom Marino,1,3.501215947,-14.45856614
Rep. Tom McClintock,1,3.981439297,-13.05355497
Rep. Tom O’Halleran,2,10.92531622,7.83893429
Rep. Tom Price,0,-5.923931479,-14.2326399
Rep. Tom Reed,1,4.604308963,-10.62866349
Rep. Tom Rice,1,9.094349247,-12.0293559
Rep. Tony Cárdenas,2,8.061793469,12.01684529
Rep. Trent Franks,1,-0.1463845833,-16.63204666
Rep. Trent Kelly,6,20.73616431,-12.80716824
Rep. Trey Gowdy,1,3.372687625,-15.97224754
Rep. Trey Hollingsworth,6,16.22562955,-7.786206637
Rep. Trey Radel,7,-33.49123958,-7.306445093
Rep. Troy Balderson,2,9.898302242,13.58002529
Rep. Tulsi Gabbard,2,8.056281505,12.61330283
Rep. Val Demings,2,8.616740895,8.012868689
Rep. Van Taylor,2,10.84262198,20.35577969
Rep. Vance McAllister,7,-28.15762512,-3.109334799
Rep. Vern Buchanan,1,4.241073393,-11.49776751
Rep. Veronica Escobar,5,8.995145899,-3.633929154
Rep. Vicente Gonzalez,2,9.552910827,8.699577996
Rep. Vicky Hartzler,1,4.078402297,-11.27760149
Rep. Virginia Foxx,1,3.848785596,-11.59473184
Rep. W. Bill Young,7,-37.1713044,-10.28637445
Rep. Walter “Wally” Herger,7,-40.5342338,-9.34494255
Rep. Walter Jones Jr.,1,1.873660424,-16.06029709
Rep. Warren Davidson,6,19.50244212,-11.41669289
Rep. Will Hurd,6,20.85029221,-11.92196898
Rep. William Enyart,4,-20.24837127,16.08480515
Rep. William Keating,2,5.248848171,12.25905472
Rep. William Owens,4,-22.64409683,12.25907099
Rep. William Timmons,2,9.589970302,18.35690678
Rep. Xavier Becerra,3,-0.5250616188,17.59261146
Rep. Xochitl Torres Small,5,9.427653845,-1.949935506
Rep. Yvette Clarke,2,4.850309735,12.11016277
Rep. Zoe Lofgren,2,4.69164614,11.65171497
Vice President Mike Pence,3,49.92848003,55.47745433
