Cereal Name,Manufacturer,Calories,Protein (g)
Rep. Chrissy Houlahan,5,9.072898255,-3.126551645
Rep. Christopher “Chris” Smith,1,4.235120413,-10.86842605
Rep. Christopher Gibson,0,-5.45057455,-14.98142255
Rep. Christopher Murphy,4,-25.2195859,11.60243274
Rep. Claudia Tenney,6,18.80141468,-16.01619731
Rep. Clay Higgins,6,16.75033674,-9.183858463
Rep. Clifford “Cliff” Stearns,7,-38.87166319,-9.486613579
Rep. Colin Allred,5,8.851910326,-4.023334782
Rep. Colleen Hanabusa,3,-5.820112088,19.9275592
Rep. Collin Peterson,2,6.503331311,10.45497035
Rep. Connie Mack IV,7,-40.84241,-15.4864082
Rep. Conor Lamb,5,9.674111039,1.257487091
Rep. Corrine Brown,3,-0.722084305,17.29857455
Rep. Cory Gardner,7,-33.31026528,-6.110615137
Rep. Cresent Hardy,6,27.88628129,-22.34854222
Rep. Curtis “Curt” Clawson,6,18.78739345,-21.97704253
Rep. Cynthia Axne,5,9.159887148,-2.22974271
Rep. Cynthia Lummis,0,-6.180638885,-15.9356383
Rep. Dale Kildee,4,-27.87449508,14.9668608
Rep. Dan Benishek,0,-4.925104369,-14.04913718
Rep. Dan Bishop,2,8.584628604,23.11243831
Rep. Dan Boren,7,-33.48080774,1.106384106
Rep. Dan Burton,7,-37.6430749,-10.38533271
Rep. Dan Crenshaw,2,10.65564696,18.43637831
Rep. Dan Newhouse,6,20.80475453,-13.04799103
Rep. Dana Rohrabacher,1,4.363676748,-20.00033228
Rep. Daniel Donovan Jr.,6,22.46825863,-18.91983627
Rep. Daniel Kildee,2,7.537669442,11.47285211
Rep. Daniel Lipinski,2,5.711149988,12.52367863
Rep. Daniel Lungren,7,-38.31103926,-8.238459981
Rep. Daniel Maffei,4,-19.89024971,15.3482345
Rep. Daniel Meuser,2,10.86081754,19.01903085
Rep. Daniel Webster,1,3.787044427,-11.42566693
Rep. Danny Davis,2,5.711574513,11.35276571
Rep. Darin LaHood,6,19.88855461,-12.0847943
Rep. Darrell Issa,1,2.959534796,-15.34957139
Rep. Darren Soto,2,9.081535549,8.371380296
Rep. Dave Camp,7,-33.24068762,-6.082469015
Rep. Dave Trott,6,23.35556123,-20.5533211
Rep. David “Dave” Brat,6,21.98544686,-20.67270507
Rep. David “Phil” Roe,1,3.894119505,-10.40139237
Rep. David Cicilline,2,5.136997178,11.95518239
Rep. David Curson,4,-30.25299231,18.74013181
Rep. David Dreier,7,-38.20860689,-8.294613795
Rep. David Jolly,6,14.14653035,-19.25131085
Rep. David Joyce,1,8.621191951,-10.87414045
Rep. David Kustoff,6,16.89356353,-6.885934769
Rep. David Loebsack,2,5.206810005,12.97295289
Rep. David McKinley,1,4.030431496,-10.52233986
Rep. David Price,2,4.401797165,11.65247018
Rep. David Reichert,1,2.8427231,-14.42503768
Rep. David Rivera,7,-38.16704633,-9.262550179
Rep. David Rouzer,6,21.16437722,-13.67913976
Rep. David Schweikert,1,3.984761781,-11.3132422
Rep. David Scott,2,5.547833678,12.30920299
Rep. David Trone,5,9.170171137,-4.26556136
Rep. David Valadao,1,8.403466832,-15.61006417
Rep. David Young,6,22.85446937,-19.03065508
Rep. Dean Phillips,5,8.987026197,-3.386926504
Rep. Debbie Dingell,2,12.91831526,10.0073839
Rep. Debbie Lesko,2,12.67513037,4.410633212
Rep. Debbie Mucarsel-Powell,5,8.615702451,-3.259208079
Rep. Debbie Wasserman Schultz,2,5.347874102,11.67035665
Rep. Debra Haaland,5,8.483383666,-3.933172867
Rep. Dennis “Denny” Rehberg,7,-38.15203821,-8.233614547
Rep. Dennis Cardoza,4,-27.45606198,12.95061573
Rep. Dennis Kucinich,4,-29.1228766,12.70400077
Rep. Dennis Ross,1,2.999947154,-15.72181804
Rep. Denny Heck,2,8.154842118,12.26389907
Rep. Denver Riggleman,2,10.60440175,19.8005382
Rep. Derek Kilmer,2,7.980221113,12.23163911
Rep. Devin Nunes,1,4.139198705,-11.10138476
Rep. Diana DeGette,2,5.032694981,12.02793818
Rep. Diane Black,1,1.210270645,-14.98191257
Rep. Dina Titus,2,7.854072488,12.34336239
Rep. Doc Hastings,7,-33.14510286,-6.192755423
Rep. Don Bacon,6,16.50244872,-6.625645323
Rep. Don Young,1,5.451512648,-10.25650487
Rep. Donald Beyer Jr.,2,13.73187794,10.52135661
Rep. Donald Manzullo,7,-38.31591909,-10.31557838
Rep. Donald McEachin,2,10.01877065,9.814031893
Rep. Donald Norcross,2,13.50367873,11.32841737
Rep. Donald Payne,4,-15.62868656,19.87574938
Rep. Donald Payne Jr.,2,6.107350721,11.51739734
Rep. Donna Edwards,3,-0.01326825446,17.64584792
Rep. Donna Shalala,5,8.583393841,-3.577504037
Rep. Doris Matsui,2,5.043995748,12.00084078
Rep. Doug Collins,1,8.379026356,-12.37109313
Rep. Doug LaMalfa,1,8.648736636,-11.53427804
Rep. Doug Lamborn,1,4.46099778,-12.07687624
Rep. Drew Ferguson IV,6,16.92114326,-7.627644434
Rep. Duncan Hunter,1,3.890181348,-13.32742498
Rep. Dusty Johnson,2,10.22445671,19.46654073
Rep. Dwight Evans,2,9.058352475,7.534789486
Rep. Earl “Buddy” Carter,6,20.82540204,-14.11601321
Rep. Earl Blumenauer,2,4.819277545,10.78395691
Rep. Ed Case,5,8.901066728,-3.070524199
Rep. Ed Pastor,4,-21.32857638,16.9602053
Rep. Ed Perlmutter,2,5.191568182,11.65119374
Rep. Ed Whitfield,0,-8.944296217,-13.75659631
